total_orders,avg_order_value,total_spend,recency_days,customer_tenure_days,orders_last_30d,orders_last_60d,orders_last_90d,avg_discount,discount_usage_rate,avg_kpt,avg_rider_wait,avg_distance,churn
3,453.59999999999997,1360.8,122,27,0.0,0.0,0.0,99.0,1.0,16.483333333333334,4.133333333333334,5.0,1
1,1332.4,1332.4,21,0,1.0,1.0,1.0,198.05,1.0,14.63,6.1,3.0,0
1,1352.4,1352.4,49,0,0.0,1.0,1.0,270.0,1.0,29.47,2.9,2.0,1
4,805.6225000000001,3222.4900000000002,53,58,0.0,2.0,3.0,103.74000000000001,1.0,18.7725,2.75,5.5,1
3,673.0500000000001,2019.15,68,48,0.0,0.0,1.0,37.333333333333336,0.3333333333333333,15.866666666666667,3.3333333333333335,3.0,1
1,512.4,512.4,59,0,0.0,1.0,1.0,0.0,0.0,19.13,10.8,8.0,1
2,1042.125,2084.25,139,5,0.0,0.0,0.0,0.0,0.0,24.445,4.3999999999999995,1.0,1
1,478.8,478.8,130,0,0.0,0.0,0.0,93.0,1.0,17.58,5.1,3.0,1
1,900.9,900.9,84,0,0.0,0.0,1.0,0.0,0.0,18.22,1.5,5.0,1
1,145.95,145.95,89,0,0.0,0.0,1.0,100.0,1.0,12.22,9.5,2.0,1
1,628.95,628.95,77,0,0.0,0.0,1.0,0.0,0.0,11.18,3.3,1.0,1
1,752.03,752.03,35,0,0.0,1.0,1.0,111.78,1.0,16.12,11.0,3.0,1
1,425.25,425.25,11,0,1.0,1.0,1.0,0.0,0.0,13.57,1.6,0.5,0
1,1069.95,1069.95,93,0,0.0,0.0,0.0,180.0,1.0,24.19,2.7,4.0,1
1,586.95,586.95,104,0,0.0,0.0,0.0,100.0,1.0,21.78,9.1,5.0,1
5,496.65,2483.25,48,98,0.0,1.0,3.0,0.0,0.0,17.646,2.58,1.0,1
1,334.95,334.95,65,0,0.0,0.0,1.0,0.0,0.0,17.4,0.1,4.0,1
2,394.53999999999996,789.0799999999999,31,0,0.0,2.0,2.0,201.75,1.0,25.84,9.350000000000001,6.0,1
1,1040.5,1040.5,105,0,0.0,0.0,0.0,59.9,1.0,15.95,0.7,4.0,1
1,229.95,229.95,104,0,0.0,0.0,0.0,100.0,1.0,13.43,10.5,2.0,1
1,388.5,388.5,51,0,0.0,1.0,1.0,90.0,1.0,17.35,3.1,6.0,1
5,1290.8700000000001,6454.35,68,70,0.0,0.0,1.0,0.0,0.0,22.938,2.34,7.0,1
1,236.25,236.25,107,0,0.0,0.0,0.0,100.0,1.0,12.5,3.5,2.0,1
1,220.5,220.5,79,0,0.0,0.0,1.0,100.0,1.0,14.1,1.1,4.0,1
1,1069.01,1069.01,41,0,0.0,1.0,1.0,158.9,1.0,23.13,2.9,11.0,1
1,324.4,324.4,8,0,1.0,1.0,1.0,289.05,1.0,8.0,1.0,9.0,0
1,869.19,869.19,40,0,0.0,1.0,1.0,129.2,1.0,12.23,0.9,1.0,1
1,597.45,597.45,29,0,1.0,1.0,1.0,90.0,1.0,12.87,7.7,4.0,0
1,700.35,700.35,91,0,0.0,0.0,0.0,78.0,1.0,16.8,11.3,5.0,1
1,628.95,628.95,102,0,0.0,0.0,0.0,99.0,1.0,14.03,0.6,2.0,1
1,729.75,729.75,72,0,0.0,0.0,1.0,0.0,0.0,13.38,0.8,3.0,1
4,378.0,1512.0,11,93,1.0,1.0,3.0,77.5,0.25,16.5,2.8499999999999996,7.0,0
1,614.25,614.25,75,0,0.0,0.0,1.0,0.0,0.0,14.65,3.6,4.0,1
2,994.875,1989.75,109,24,0.0,0.0,0.0,100.0,0.5,15.860000000000001,2.3,7.0,1
2,1387.575,2775.15,97,51,0.0,0.0,0.0,692.5,0.5,20.675,1.8,6.0,1
2,432.6,865.2,93,14,0.0,0.0,0.0,50.0,0.5,12.809999999999999,0.4,3.0,1
1,910.35,910.35,69,0,0.0,0.0,1.0,0.0,0.0,17.23,13.1,2.0,1
6,501.81333333333333,3010.88,16,130,1.0,1.0,3.0,99.41666666666667,0.6666666666666666,16.216666666666665,2.4,4.0,0
1,607.95,607.95,36,0,0.0,1.0,1.0,0.0,0.0,23.88,13.8,7.0,1
1,525.0,525.0,82,0,0.0,0.0,1.0,99.0,1.0,19.12,0.8,12.0,1
1,403.2,403.2,46,0,0.0,1.0,1.0,384.0,1.0,22.78,0.3,1.0,1
3,959.6999999999999,2879.1,72,8,0.0,0.0,3.0,79.0,1.0,20.423333333333336,0.43333333333333335,7.333333333333333,1
3,354.3766666666667,1063.13,4,75,1.0,1.0,3.0,128.16666666666666,0.6666666666666666,12.300000000000002,2.9333333333333336,6.0,0
1,576.45,576.45,118,0,0.0,0.0,0.0,0.0,0.0,16.85,8.9,3.0,1
1,1162.35,1162.35,85,0,0.0,0.0,1.0,100.0,1.0,21.07,3.5,2.0,1
2,559.65,1119.3,83,56,0.0,0.0,1.0,50.0,0.5,9.915,4.15,3.0,1
1,2156.7,2156.7,91,0,0.0,0.0,0.0,180.0,1.0,31.73,1.5,2.0,1
4,911.9725000000001,3647.8900000000003,0,34,3.0,4.0,4.0,99.955,0.5,21.785,4.0,7.0,0
1,376.95,376.95,88,0,0.0,0.0,1.0,100.0,1.0,8.5,0.2,4.0,1
2,325.5,651.0,12,3,2.0,2.0,2.0,45.0,0.5,14.475,6.8,11.5,0
2,490.35,980.7,129,2,0.0,0.0,0.0,247.5,0.5,24.61,2.7,4.0,1
1,1339.8,1339.8,76,0,0.0,0.0,1.0,0.0,0.0,19.8,0.8,3.0,1
2,471.975,943.95,75,8,0.0,0.0,2.0,49.5,0.5,12.96,1.2999999999999998,1.0,1
1,325.5,325.5,100,0,0.0,0.0,0.0,0.0,0.0,12.52,1.0,2.0,1
1,1224.83,1224.83,41,0,0.0,1.0,1.0,887.5,1.0,19.28,0.7,1.0,1
4,814.315,3257.26,5,25,3.0,4.0,4.0,60.2125,0.5,22.445,6.199999999999999,5.75,0
2,570.1500000000001,1140.3000000000002,31,99,0.0,1.0,1.0,56.0,0.5,16.71,0.85,7.0,1
1,566.06,566.06,59,0,0.0,1.0,1.0,59.9,1.0,10.67,4.7,6.0,1
1,176.4,176.4,25,0,1.0,1.0,1.0,90.0,1.0,10.77,3.1,2.0,0
1,298.73,298.73,0,0,1.0,1.0,1.0,284.5,1.0,13.68,2.2,2.0,0
4,437.0625,1748.25,35,29,0.0,2.0,4.0,121.25,0.5,18.69,2.975,2.0,1
1,399.0,399.0,151,0,0.0,0.0,0.0,99.0,1.0,16.8,6.1,2.0,1
1,168.0,168.0,120,0,0.0,0.0,0.0,99.0,1.0,14.88,10.1,2.0,1
1,733.43,733.43,3,0,1.0,1.0,1.0,199.5,1.0,16.45,1.7,2.0,0
1,408.45,408.45,13,0,1.0,1.0,1.0,90.0,1.0,13.35,9.9,2.0,0
1,198.45,198.45,91,0,0.0,0.0,0.0,100.0,1.0,13.4,9.1,6.0,1
1,220.5,220.5,86,0,0.0,0.0,1.0,100.0,1.0,15.98,1.0,1.0,1
1,984.9,984.9,5,0,1.0,1.0,1.0,0.0,0.0,18.83,18.6,4.0,0
2,726.6,1453.2,141,5,0.0,0.0,0.0,46.5,0.5,18.6,2.4,1.0,1
1,901.95,901.95,32,0,0.0,1.0,1.0,0.0,0.0,20.97,8.9,1.0,1
1,204.75,204.75,72,0,0.0,0.0,1.0,100.0,1.0,10.05,1.6,0.5,1
2,664.65,1329.3,34,69,0.0,1.0,1.0,95.0,1.0,10.735,0.4,2.0,1
3,622.3000000000001,1866.9,18,112,1.0,2.0,2.0,86.0,0.6666666666666666,16.89,2.2666666666666666,10.666666666666666,0
1,331.8,331.8,121,0,0.0,0.0,0.0,99.0,1.0,16.98,0.8,4.0,1
1,963.9,963.9,81,0,0.0,0.0,1.0,0.0,0.0,12.68,0.2,6.0,1
3,882.7733333333334,2648.32,85,18,0.0,0.0,1.0,66.66666666666667,0.6666666666666666,15.656666666666666,6.2,11.333333333333334,1
1,659.4,659.4,141,0,0.0,0.0,0.0,0.0,0.0,16.55,3.1,2.0,1
1,439.43,439.43,29,0,1.0,1.0,1.0,418.5,1.0,16.53,0.9,2.0,0
1,681.45,681.45,65,0,0.0,0.0,1.0,0.0,0.0,14.85,9.5,3.0,1
2,593.25,1186.5,107,28,0.0,0.0,0.0,95.0,1.0,17.59,0.65,7.0,1
1,397.95,397.95,101,0,0.0,0.0,0.0,100.0,1.0,7.67,1.8,6.0,1
1,899.85,899.85,31,0,0.0,1.0,1.0,0.0,0.0,16.4,0.5,3.0,1
1,187.95,187.95,4,0,1.0,1.0,1.0,90.0,1.0,16.15,3.3,4.0,0
2,145.66,291.32,29,9,1.0,2.0,2.0,89.775,1.0,10.8,2.0,2.0,0
1,523.95,523.95,97,0,0.0,0.0,0.0,100.0,1.0,11.12,9.9,2.0,1
1,1331.4,1331.4,106,0,0.0,0.0,0.0,0.0,0.0,38.93,15.8,2.0,1
3,442.8333333333333,1328.5,71,6,0.0,0.0,3.0,0.0,0.0,18.963333333333335,11.833333333333334,7.666666666666667,1
2,779.0999999999999,1558.1999999999998,90,41,0.0,0.0,0.0,99.5,1.0,15.425,3.75,5.0,1
1,606.9,606.9,59,0,0.0,1.0,1.0,0.0,0.0,18.98,13.2,1.0,1
1,372.75,372.75,73,0,0.0,0.0,1.0,0.0,0.0,14.69,5.0,7.0,1
1,481.95,481.95,60,0,0.0,0.0,1.0,0.0,0.0,11.43,2.3,2.0,1
1,418.95,418.95,36,0,0.0,1.0,1.0,0.0,0.0,12.88,3.8,2.0,1
1,649.95,649.95,76,0,0.0,0.0,1.0,100.0,1.0,15.67,0.5,3.0,1
3,341.25,1023.75,0,3,3.0,3.0,3.0,53.333333333333336,0.6666666666666666,16.773333333333333,2.2666666666666666,5.0,0
2,168.0,336.0,127,7,0.0,0.0,0.0,99.0,1.0,14.700000000000001,5.1000000000000005,5.0,1
1,1204.35,1204.35,15,0,1.0,1.0,1.0,0.0,0.0,13.27,0.8,5.0,0
1,325.5,325.5,84,0,0.0,0.0,1.0,0.0,0.0,32.59,7.1,3.0,1
1,691.95,691.95,114,0,0.0,0.0,0.0,0.0,0.0,16.07,3.0,2.0,1
1,220.5,220.5,79,0,0.0,0.0,1.0,100.0,1.0,19.68,0.9,6.0,1
2,885.485,1770.97,23,10,1.0,2.0,2.0,63.18,0.5,12.925,1.95,1.0,0
1,502.95,502.95,77,0,0.0,0.0,1.0,0.0,0.0,13.75,1.5,1.0,1
1,710.85,710.85,94,0,0.0,0.0,0.0,0.0,0.0,21.87,2.4,2.0,1
4,401.8875,1607.55,18,85,1.0,2.0,3.0,168.5,1.0,14.56,2.2750000000000004,1.0,0
4,870.45,3481.8,42,104,0.0,1.0,2.0,94.0,1.0,18.04,4.1,2.0,1
1,341.25,341.25,142,0,0.0,0.0,0.0,310.0,1.0,13.13,1.2,6.0,1
6,945.0,5670.0,48,83,0.0,2.0,2.0,190.0,0.3333333333333333,18.715,5.316666666666666,3.0,1
